reviewerID,asin,predictRating,T_v,overall,reviewText,filteredReview
,B000WT5CAW,-1,1,5,I'm not quite sure what I am supposed to say. I downloaded the song and it is what it is.,
,B000WT5CAW,-1,1,4,Its okay but I like other things by Johnny Cash better,
,B000WT62UQ,1,-1,3,Played during Monday nights The Black List.  Fit perfectly with the storyline thought it would be nice to hear the hole song.,
,B000WT62UQ,-1,1,5,A,
,B000WT62UQ,-1,1,5,A++,
,B000WTUYM8,-1,1,5,Nelly Furtado's range in music is so under-appreciated.  love her.,
,B000WTUYM8,1,-1,3,"Nelly has an extremely great voice.  This song is probably one of her best.  I have not heard too much about her, but she should sing more of these types of songs.  I heard Promiscuous and it was cute, but I wouldn't buy it though.",
,B000WZWW7M,-1,1,5,Speaks volumes.,
,B000WZWW7M,-1,1,5,"I first heard this on a YouTube video for Final Fastasy The Spirits Within, except...it was never in that movie or soundtrack.  Run I heard it on a FF VII video, except was not in that either.  Tracked it down to Tears For Fears, years ago, remake by Jules and used n Donny Darko movie.  My wofe says it's dark,Mi just think it is a solid A, moving, touching, mindful, haunting.",
,B000X6NXZ0,-1,1,5,Heard my brother play this song and really liked it. The lyrics caught my ear. plus any song stated sorry has to be good,
,B000X6NXZ0,-1,1,4,it is ok as a story,
,B000X6NXZ0,-1,1,5,It was okay but I've heard better from Buckcherry,
,B000X6TUGQ,-1,1,5,"I do not like to reveiw music purchases, movie purchases and I certainly don't like to review downloads. If you didn't like the song in the first place why would you bother downloading it.",
,B000X6TUGQ,-1,1,5,Rocks!,
,B000X6TUGQ,1,-1,3,my daughter wanted this and loves it,
,B000X6TUGQ,1,-1,3,ok,
,B000X6UB46,-1,1,5,"Awesome music! Must buy more, must buy more, must use up 9 more words .... blah blah blah blah blah",
,B000X6UB46,-1,1,5,"Very nice song to mix in with the Christmas tunes.  And since this has to be a certain length to be submitted, I guess the other songs are going to go without reviews.",
,B000X6ZBCS,1,-1,3,"This is a earlier, much more foul-mouthed Gaffigan. His current style is still present, but there is definitely a little bit more edge to the delivery of his jokes. Parents, be warned about the expletives that are going to ensue.

Jim talks a lot about his recessive genes causing his absolute paleness, his Midwest upbringing, and his hatred of reading. But the most famous of his jokes is present here, the famed Hot Pocket joke. How much can one man talk about the destructive nature of this lovely frozen food item? You will be surprised.

The best part of this release is the included DVD with several of classic Gaffigan stand ups originally on Comedy Central. He sure looked really skinny and pale back then!

It is solid, but no where as strong as his subsequent releases, King Baby and Mr. Universe. It is worth it if you are a Jim Gaffigan fan.",
,B000X6ZBCS,1,-1,3,"It is funny, but I should have read the information more carefully, as many of the bits are contained in some of this other albums.",
,B000X6U6IM,-1,1,5,"I love this song, and amazon makes it totally worth it because unlike stupid iTunes, you can keep downloading it to a new phone, or redownload it if your internet dies or something in the middle of the download, all for free.
See iTunes, if u loose internet connection in the middle of the down load, or your power goes out, or you get a new computer you have to buy the song all over again, trust me, I experienced that huge problem with iTunes MORE THAN ONCE.
Where as Amazon is awesome cause it's all on your account, so you just log in and it's there, and it shows that you payed the $1 for it so it's yours. Even if you get a new phone, or iPod, or loose internet connection or whatever... your logged it, it's your account you payed for it, its all leagle, and it's yours, for like EVER. :D
In my own PERSONAL opinion I HIGHLY HIGHLY HIGHLY RECOMEND you download songs, and buy songs from Amazon.com verses buying it on iTunes. c:",
,B000X964EY,-1,1,5,"Monolithic Baby! is the sixth full-length Monster Magnet studio album, it sees the New Jersey based stoner band stripping back their sound to the hard rock basics and introduces new members Jim Baglino on bass and Michael Wildwood on drums for the first time.

The album is absolutely spot-on in terms of quality, the songs are memorable, the production is good and there is an audible enthusiasm to the performance. Monster Magnet, like so many bands, may have a reputation stating that their early stuff is what you want to be listening to and the rest is take-it-or-leave-it, but I assure you that in the case of Monolithic Baby! that is only a stylistic argument, not a qualitative one.

The aforementioned stripped back sound finds the band concentrating mostly on fundamental and simplistic rock tracks, that eschew whatever elements of psychedelic sounds were found in the bands style from their first few releases as well as no longer exploring many different directions at once, like on the two eclectic albums which preceded this one.

The fact that there are no surf songs, electronic semi-ballads or drugged out eastern tinged epics could be seen as boring, indicating a lack of variety and an unwillingness to break any new ground. Conversely, it can be viewed as the band concentrating on what they do best, uncomplicated by external factors and delivering only the hard rock, giving only big riffs, gnarly solos and attitude filled vocals.

Regardless of which way you view the change in direction, there are some very great songs on this album, including the (almost) title track `Monolithic' as well as the strong opener `Slut Machine' and the famous and very catchy `Radiation Day.'

Most Monster Magnet fans are fond of Dave's Vocals and lyrics, which are up to their usual high standard on this record, and most fans will be more than happy with this album, the songwriting is of a very high caliber and there are so many rocking songs that this is one of the most direct, focused and in your face records the band have made.

Of course, some Monster Magnet fans don't necessarily dig direct rock songs and therefor could ask for a little more variety from the album, perhaps more crazy effects, longer songs and inclusion of a wider array of instruments. If that describes your feelings in similar situations then maybe give Monolithic Baby! a miss, elsewise do not hesitate to pick up a copy, it really is a very enjoyable record.",
,B000X9KKO4,-1,1,5,Finally Paramount listensed and put out a complete version. There were so many left out sequences on the older version. The USS Grisom and the destruction of the Enterprise are only a small sample of what was left out.,
,B000XEI154,1,-1,3,"It took me right back to the 1950s!  I played the tune over and over Easter Sunday, as I prepared breakfast, for my family.  My grandchildren got a kick out of me, Nana, singing along as the waffles and blueberries piled on their plates.  I hope it embeds a fun memory for them, as it has me over the years!",
,B000XO0LKW,-1,1,4,A++,
,B000XO0LKW,-1,1,5,says it all,
,B000XO0LKW,-1,1,4,"Quick buying on the computer, downloading not so bad. Once again, issues getting to iTunes or Windows Media. But I think that's a computer bug.",
,B000XQZASS,-1,1,5,Punk out!,
,B000XXZ31K,1,-1,3,"The Good
""Call to Arms"" is no doubt the band's anthem for this album. A major difference you notice right away is that this album is a lot brighter and hopeful as compared to their 2006 album We Don't Need to Whisper. ""Everything's Magic"" adds a hint of keyboards and lots of progressive effects that complement Tom Delonge's (ex-Blink 182) melodic, high-pitched vocals. ""Breathe"" is not your typical radio ballad, but more like a sci-fi movie love song. Driving guitars mixed with melodic vocal breaks make up the track ""Secret Crowds."" Drummer Atom Willard (Offspring) experiments with some unique drum beats on this one. ""True Love"" employs electronic drum beats, unique guitar licks, and uplifting vocals.

The Bad
Despite the different effects and drum beats used, the album tends to sound like one long, drawn-out song.

The Verdict
The brighter more optimistic Angles and Airwaves are far more enjoyable than their darker and hopeless debut. However, lack of diversity keeps this album from returning to my CD player.",
,B000XXZ31K,-1,1,5,"I already reviewed this but Amazon killed the review for an unknown reason.

In any case, this album is as good as the last, which is to say it's spectacular.

The only problem with it is that Rite of Spring is utter garbage; amateurish lyrics and simple, garage, my-first-punk-song from the musical standpoint. It's always skipped and the album should not have it.

The rest ranges from pretty good to really good. Very much a relief that A&A didn't screw things up after their first one, and it was not a fluke!",
,B000Y076EO,-1,1,5,"When it's over, it's over or is it.? I really had to do some searching with a few lyrics to Google who this Artist was due to the fact that I would never known it was Keith Urban, a Country Western Artist, not my usual selection. Most definately I could not have enjoyed it more.",
,B000Y2QEAE,-1,1,5,Everyone needs to have this version in their library.,
,B000Y2QEAE,-1,1,4,as it should be,
,B000Y2QEAE,-1,1,5,5 stars.,
,B000YKEMZ0,-1,1,5,OneRepublic rocks!,
,B000YKEMZ0,1,-1,3,Good Music!,
,B000YKEMZ0,-1,1,4,"I actually dismissed this song when it was new. It didn't really grab me. After hearing their later releases, though, I went back and liked it better. Weird huh?",
,B000YKEMZ0,-1,1,4,"Hooked. Lined. Sinkered. Not sure that last one is a word, but that is how I felt the first time I heard this tune, as I am sure did everyone else who knows this song from One Republic. Not sure why it took me so long to finally download it.",
,B000YN07XI,-1,1,5,"Beautiful music, lousy words.  Should be re-written.",
,B000YN07XI,-1,1,5,As another reviewer said - appreciate this for the music and not the lyrics - good god they're awful!  It's too bad - ugh!  I was able to find a cover site and remove all of the vocals and keep everything else as is.  Aaaah - now it sounds better.  :),
,B000YNNTWY,1,-1,3,"one tune that's all you get
there must be 6 versions of this out now",
,B000YNNTWY,-1,1,4,"This was for my aerobics on MP3, and the 5th star is missing only because I'm an old geezer from the Sixties. But, this version for Legacy is less harsh in the vocals than the original first films, and lacks nothing for envisioning that beach run from Supremacy, and that's where it takes my vision and motivation. If you have seen those films, even without Legacy, (and maybe especially without it), this one should keep pace. Good Works to you, where ever you turn it on. ~ww",
,B000YNNTWY,-1,1,4,I like it a lot.  Still trying to buy the instrumental version.,
,B000YQZQUY,1,-1,3,no review,
,B000YQZQUY,-1,1,5,Really like this song....makes me want a beer! Some of the other tracks on album are not to my liking.,
,B000YUHZBI,1,-1,3,It is a classical that evokes emotion. excellent.,
,B000Z1GR9C,-1,1,5,"Actually released in 1969 his one-hit wonder is familiar from films, ads and TV shows.  A nice encomium for the 60s.",
,B000Z1GR9C,-1,1,5,Plus plus plus,
,B000Z1GR9C,-1,1,5,"Great tune!  I like being able to download MP3s on Amazon but I'm disappointed that some songs play fine and others the volume is much too quiet, or in the rare case, too loud. I miss the fact most of the songs used to be $0.99 and now they are mostly $1.29 too.",
,B000Z1GR9C,1,-1,3,The song is awesome but it wasn't cleanly transferred to an mp3.  I am still happy that I purchased it.,
,B000Z0HZP8,-1,1,4,its a song,
,B000Z0HZP8,-1,1,5,"Besides that beautiful low voice the songs words mean so much. No Truer words can be spoken. Life goes by too quickly and every little thing you think ""drives you crazy"" or you can't wait for the next step.... only leaves a memory that makes you say how bad you miss how it used to be.",
,B000Z7S78U,-1,1,4,"Type O Negative's most recent album, ""Dead Again"" gets re-released and repackaged with a bonus DVD.  For those who have already picked up ""Dead Again"", this new edition is only worth picking up for die hard fans of the band.  The bonus DVD includes the live Wacken performances of fan favorites ""Kill You Tonight"", ""Love You to Death"", ""Anesthesia"", and ""Christian Woman"", along with the videos for ""The Profits of Doom"" and ""September Sun"".  An interview with the band is included as well, but it's nothing special, even though it concludes with Josh Silver touring Coney Island, which is actually pretty funny.  As for the album itself, you can check my old review for a more detailed take on it, but other than the DVD and new red colored cover, this is the same ""Dead Again"" that you picked up last year.  That's not a bad thing for more casual or new fans to the band who haven't picked up ""Dead Again"" yet, of which by all means this is the edition to pick up.  Other than that though, unless you are a die hard fan who needs to own everything Type O Negative, or you don't own ""Dead Again"" at all, this re-release isn't all that worth picking up.",
,B000Z7S78U,-1,1,4,"Musically, ""Dead Again"" features some of the most ambitious, memorable songs in Type O's career.  The formula hasn't exactly changed, but these songs for the most part match up to past classics.  However, lyrically, this is easily Peter Steele's worst work ever, and oftentimes the inane lyrics detract from the emotional power the arrangements inherently have.

There are several reasons this might be the case.  For instance, it's quite possible that all Peter knew how to write about were the typical Type O topics: death, romance, wolves, fire, etc... The lyrics on this release instead attempt to make real inspirational/thoughtful and moral statements.  That in itself is not the problem, nor is the fact that apparently now Catholic Steele preaches his newfound faith through several of these songs.  The problem is that the lyrics are usually either simple and literal (""I'm a drug addict, always will be"", ""there's no excuse for drug abuse"", ""A child is torn from the womb unbaptized, there's no question it's infanticide"") or pun-filled attempts at humor (""Turn your cheek, gets ripped off, that's why we're given four"").  The song ""Ode to Locksmiths"" actually has the line ""Now I know why girls hate boys,'cuz Eve was in fact raped"".  It seems painfully obvious that Steele's faith is hardly sincere (more out of fear of death than anything) and that he's only preaching because he feels he should, not because he really believes in what he says, judging by the tired and sometimes ridiculous points he tries to make.  Steele himself even said in an interview that he had a hard time finding lyrical inspiration for this album.  A few of the tracks have decent lyrics, such as ""September Sun"" but most, being long songs, have their fair share of good and bad parts.  Only 2 become unlistenable, ""She Burned Me Down"" and ""Halloween in Heaven"".

Other than that, this is a much more energetic and punky Type O than we've had in a while.  Nearly all of the songs have some sort of throw back to their early days, and ""Some Stupid Tomorrow"" is fast throughout.  Many of the songs are quite positive, also... this may be the least depressing album in their career.  Even the World Coming Down-esque ""These Three Things"" has a triumphant finale.  There's no question to me that the drama in their songwriting has improved... all of the epics on this album truly build energy and go somewhere.  Kenny's guitar work seems more Sabbath-inspired than ever before, and although the guitar tone has lost the signature, thick, flanged tone, the combination of Steele's vocal melodies and Silver's organ textures still creates the signature Type O sound.  The songs are full of tempo changes just like the Type O epics of old (""Black No. 1"") but there seems to be a logic and flow present in these songs that just wasn't there in those days.  The album is incredibly consistent, and has no filler and is easy to listen to all the way through despite its length.

In conclusion, ""Profits of Doom"", ""These Three Things"", ""Ode to Locksmiths"" and the haunting closer ""All Hail and Farewell to Britain"" with its excellent ambient outro all contain some of my favorite Type O moments.  I'd recommend ""Dead Again"" to any Type O fan who doesn't put too much importance in the lyrics.",
,B000Z7S78U,-1,1,5,"It's been a long time since Type O Negative have been on the scene. Too long, as a matter of fact. 2003 saw the release of&nbsp;<a data-hook=""product-link-linked"" class=""a-link-normal"" href=""/Life-Is-Killing-Me/dp/B00009PJPT/ref=cm_cr_arp_d_rvw_txt?ie=UTF8"">Life Is Killing Me</a>&nbsp;and the band seemed to all but vaporize since. Rest assured, however, the boys from Brooklyn are back, and frontman Peter Steele has gone through enough of a personal Hell to inspire one of the best albums of their career. ""Dead Again,"" Type O's seventh studio album sounds just as fresh as the classic&nbsp;<a data-hook=""product-link-linked"" class=""a-link-normal"" href=""/Bloody-Kisses/dp/B000000H6Y/ref=cm_cr_arp_d_rvw_txt?ie=UTF8"">Bloody Kisses</a>&nbsp;or&nbsp;<a data-hook=""product-link-linked"" class=""a-link-normal"" href=""/October-Rust/dp/B000000H57/ref=cm_cr_arp_d_rvw_txt?ie=UTF8"">October Rust</a>, leaving no fan disappointed in it's wake.

At the risk of sounding like a fanboy, I must say that this album totally blew my mind. Listening to it, I get the same feelings I did when I took my first listen of&nbsp;<a data-hook=""product-link-linked"" class=""a-link-normal"" href=""/Bloody-Kisses/dp/B000000H6Y/ref=cm_cr_arp_d_rvw_txt?ie=UTF8"">Bloody Kisses</a>&nbsp;oh so many years ago. It's hard to believe how long these guys have been at it, and that they have yet to get stale or boring. Whether it's the triumphant opening title track, or the gloomy ballad, ""September Sun,"" Type O Negative touch on all their previous material here, while still keeping it relevant. Others like ""Tripping A Blind Man,"" ""An Ode To Locksmiths"" and ""She Burned Me Down"" are the cream of the crop, with their punch-in-the-gut riffs that bring back old school Black Sabbath (something that Type O are the best at). Even a song like ""These Three Things,"" which clocks in at over fourteen minutes, is impossible not to enjoy. And if I'm not mistaken, I can hear a bit of confidence in Steele's voice like never before. For the first time, he truly sounds like he is releasing his demons through his music.

""Dead Again"" is quite possibly the most accessible Type O Negative record available. Granted, you're not going to be hearing this stuff on the radio much, but if you were ever a Type O Negative fan, there is surely something here for you. They are one of the few bands that can create an album that matches their earlier work without it sounding like a shameless rehash. This is easily the most inspired Type O have been in ten years. Everyone who cares for this band owes it to themselves to own a copy of ""Dead Again.""",
,B000Z7XSRA,-1,1,5,"I liked this song by the frames, so when I heard this version that is more on the
acoustic side, ithought sounds O.K.! so I downloaded it, the main part of some is still
in tact, the main difference is the girl and piano!!!!",
,B000Z7S7HQ,-1,1,5,KSHE 95fm was only station in St Louis that I know of that ever played this song.,
,B000Z9PY0M,-1,1,5,"In the midst of our trials and tribulations, we have to stand firm and just tell the storm to move on to somewhere else.",
,B000ZDONOG,1,-1,3,"sound is great I just don't think I like the singer as much as I used to lol. oh well its like that sometimes.. its dumb that you have to write 20 words or more to describe how much you like or dislike something,, lol hope amazon reads these lol.",
,B000ZDONPU,-1,1,5,takes you back,
,B000ZDTP4O,1,-1,3,It is a good song,
,B000ZJ7KX6,-1,1,5,all the radio hits?,
,B000ZJ8NTQ,-1,1,5,A=,
,B000ZJ8NTQ,-1,1,5,as expected,
,B000ZJ8NTQ,-1,1,5,This song will bring goosebumps to you when you listen to it.,
,B000ZMUV2K,-1,1,5,It's about the only song of Tupac that I've ever listened too. The song has a nice beat to it perfect for club dancing. It's too bad that he died in such a young age who knows what he could have accomplished if he had live.,
,B000ZMUV2K,-1,1,4,B++,
,B000ZMUV2K,-1,1,5,vintage 2pac,
,B000ZMUV2K,-1,1,5,"I WAS BUMPIN THIS SO HARD,YESTERDAY !!!!!!  DAMM IM SIXTY....",
,B000ZMUV2K,-1,1,5,Timeless,
,B000ZU95CY,-1,1,5,A blast from the past!!,
,B0010S8HRO,-1,1,4,"I figured coming from such creative stock that Martha Wainwright's album would be 5+ star worthy.  It's good, but it's not great.  Like her brother Rufus, I like the idea of her, more than I actually like her.

I have heard her sing with her father (Loudon Wainwright III) and she came across much more bluesy than she does on this effort (check out ""You Never Call"" on his live disk). Her voice on this disk hits some qualities of Marianne Faithful (great) to some more alt. generic female lead singer(not so great).

The good thing (for me) is that she kind of defies a certain style.  It's not that she's all over the place, just that the music doesn't fit nicely into one genre.

Wainwright's writing is pretty good for her initial effort. I think that's where all her family's strentgh lies anyway...which is not a knock to their performing abilities.

But like most disks there are some outstanding tracks: ""When the Day is Short"", ""Wither I Must Wander"" and the oft mentioned ode (?)to her father, ""BMFA"".

It's at least worth a check-out, if not a purchase.",
,B00110JDUQ,-1,1,4,"After listening to this disc for the first time, all I could say is, ""Wow, not bad!""  These home recordings, in my opinion, give insight into the creative songwriting process of Rivers Cuomo, the lead singer of Weezer.  If these songs were the demos (or prototypes if you will), think of what they would've sounded like if they were refined and produced in the studio!  Someone actually complained of how these songs were, among other things, out of tune and unpolished.  Well, what did you think they were?  That's why they're called HOME RECORDINGS!  Think of them as first drafts to potential songs.  In fact, I think ""Home Recordings"" is far more enjoyable than the Green Album and Maldroit combined!  ""Home Recordings"" is definitely worth buying, in my opinion.  And not just for the hardcore fan mind you!",
,B00110JDUQ,-1,1,4,"I can't really be upset with this realease because it is what it states, only a demo with botched lyrics. Not sure why they didn't take the skip out of sunshine. Overall I have a lot of weezer bootleg songs much better in quality and songmanship. Overall, though it is what it states, a demo so I can't give it less then four stars. What else are we to expect?",
,B00110DT4C,1,-1,3,I was surprised it was good not really a mary fan I like k Michelle more,
,B00110DT4C,1,-1,3,"Mary J Blige speaks for the downtrodden and encourages women to be strong and keep believing.  ""Growing Pains"" continues in that vein. Danceable grooves and thought provoking positive lyrics mark Growing Pains as another star on MJB's walk to fame.  If you don't feel good after ""just Fine"" check your pulse.",
,B00110DT4C,1,-1,3,Quality album from MJB. Like all of her work the CD is filled with raw emotional songs. Mixed in with upbeat tracks that make you wanna jam.,
,B00110DT4C,1,-1,2,"I got this album last year because I used to like Mary J. Blige in the early 90's when she was at the height of her popularity.  Her albums from the early 90's a lot better than her most recent albums.  The only album by her I somewhat liked from recent years is ""No More Drama"" and even still it wasn't a perfect album.  Mary's first three albums are her best and her best being ""What's The 411?""  For long time Mary J. Blige fans you may be disappointed.  If I were you I would just stick to her earlier albums.",
,B00110DT4C,-1,1,4,"Before I said this CD was about average. It's not. It's just different. There is a bit of hip-hip mixed with R&B here but once you get past the good tracks and to the second half of the album it's full of excellent songs that are mid-tempos and beautiful ballads. Some of the highlights of the slower songs are ""That's What Love Is"" (my favorite song), ""Work In Progress (Growing Pains)"",  ""Talk To Me"", ""If You Love Me"" (which sounds like it could have fit right in on her previous huge hit of a CD&nbsp;<a data-hook=""product-link-linked"" class=""a-link-normal"" href=""/The-Breakthrough/dp/B000BNTM32/ref=cm_cr_arp_d_rvw_txt?ie=UTF8"">The Breakthrough</a>) and even ""Come To Me (Peace)"" which ends the album on a slightly more upbeat and inspiring note. I think out of all of Mary's albums this is one of the most misunderstood. Like&nbsp;<a data-hook=""product-link-linked"" class=""a-link-normal"" href=""/Love-Life/dp/B0000AQS8W/ref=cm_cr_arp_d_rvw_txt?ie=UTF8"">Love & Life</a>&nbsp;some people just weren't digging this one. Honestly, L&L is one of my favorites by Mary. It was very downbeat for the most part and I think that's what people didn't like. Same thing happened here. More than half the album is slower and full of meaning and songs about relationship/self-esteem up's and down's. The production on a few of the tracks is a little more Pop/R&B than a lot of her earlier material too.

So even with certain differences I must admit that after listening again (just like the&nbsp;<a data-hook=""product-link-linked"" class=""a-link-normal"" href=""/Love-Life/dp/B0000AQS8W/ref=cm_cr_arp_d_rvw_txt?ie=UTF8"">Love & Life</a>&nbsp;album) I find that this is a great (and once again) underrated effort by Mary J. Blige. To me it's more even than her next outing&nbsp;<a data-hook=""product-link-linked"" class=""a-link-normal"" href=""/Stronger-with-Each-Tear/dp/B002UZ5G7U/ref=cm_cr_arp_d_rvw_txt?ie=UTF8"">Stronger with Each Tear</a>&nbsp;(although that album was solid and upbeat) and is pretty much as great as her previous effort&nbsp;<a data-hook=""product-link-linked"" class=""a-link-normal"" href=""/The-Breakthrough/dp/B000BNTM32/ref=cm_cr_arp_d_rvw_txt?ie=UTF8"">The Breakthrough</a>&nbsp;believe it or not. It's just more of a grower in my opinion. To me though some of these tracks are just amazing. I guess the ballads/mid-tempos actually makes this one of my favorite recent MJB efforts. I'm now not ashamed to say that. Beautiful effort.

4.4 stars.

DOWNLOAD:
""What Love Is""
""Work In Progress (Growing Pains)""
""Stay Down"" &
""If You Love Me""",
,B00110DT4C,-1,1,4,"This is a decent album; I personally was expecting more soul into it. What I actually got was a mixture like Geffen is trying to turn Mary J. Blige into a black Carole King. This became apparent in songs ""Smoke"" and ""Fade Away"". I did listen to the record three times consecutively on my recent trip and the first half was pretty good, what I was looking for was for Mary to hit me with something heavy like she has on all of her recent efforts (i.e. PMS, I'm Not Lookin', Changes I've Been Going Through, Not Gon' Cry) and then I heard ""Roses and personally, I'm split with the song. It's Mary but it's didn't grab me like Whoa!.
I did appreciate ""Just Fine"" a little more than when I did initially. ""Grown Woman"" I love and ""Work that"" picked up where the hidden track from her last album left off. The beat is nice, the lyrics are little B-rate. After ""Just Fine"" things start to run together and sound a bit same, then you run into the second half of the cd where things pick up a little. Her duet with Usher ""Shake down"" is cute but a bit odd vocally. Usher is nice but I would've imagined somebody with a more grown type of voice to complement Mary's (i.e Jahiem or Brian Mcknight). This album is a hit and miss with me, where only a good 3 songs are my favorites and they aren't the best of Mary.",
,B00110DT4C,1,-1,3,"the thing with Mary J.Blige is that she is bound to have a few cuts on her albums that i can get with such as Just fine. that song is cool and compliments her. vocally she sounds good on this set.  overall though and I gotta compare she isn't anywhere near her first two albums which just stand out like that. but she is able to keep on going and put out some cuts that are cool. her theme is played out and worn out,but the formula works because she still can make a cut or two that sticks. Production is cool and the arrangements are cool. songwriting is hit and miss overall to me.",
,B00110DRWQ,-1,1,5,"For a change, rather than a hefty import price for a worthy reissue of an out of print disc, we get a domestic, inexpensive release. Plus, finally on CD are BOTH tracks from the original 12""--the 6 and a half minute remix of ""Let It All Hang Out"" and the 5 and a half minute remix of ""88 Lines"".",
,B00113SLBA,-1,1,5,"It's Al. Duh.  His weakest album, but stil a must for fans.",
,B00114105I,1,-1,3,Good,
