id,T_v,overall,reviewText,C_v,V_d,TV_new
251,1,5.0,"Best stuff, smells great, tames frizz and leaves shiny!",1.0,0.0,-1
252,1,5.0,Very Good,0.9099999999999999,0.09000000000000008,-1
257,1,5.0,Best product Pantene made and can't find it in stores anymore.,1.0,0.0,-1
261,1,5.0,Awesome product,1.0,0.0,-1
268,1,4.0,Very good product for fine/thin hair.  Does help with texture and thickness.,0.9099999999999999,0.09000000000000008,-1
275,1,5.0,If they discontinued this scent I would go postal. <3,1.0,0.0,-1
503,-1,3.0,Good light scent. Have received complements from people that I smell nice after using it. 3 stars because bottle is kind of small for a shower gel (size compariso photo attached) and it doesnt really help me wake up in the morning like other products.,0.30357142857142866,1.3035714285714286,1
622,1,5.0,"my wife loves this bath soap, too bad its too hard to come by anymore. Would buy a case of it.",-0.49583333333333324,1.4958333333333331,-1
646,1,5.0,too bad this  is discontinued,-0.6999999999999998,1.6999999999999997,-1
885,-1,3.0,Good light scent. Have received complements from people that I smell nice after using it. 3 stars because bottle is kind of small for a shower gel (size compariso photo attached) and it doesnt really help me wake up in the morning like other products.,0.30357142857142866,1.3035714285714286,1
1004,1,5.0,"my wife loves this bath soap, too bad its too hard to come by anymore. Would buy a case of it.",-0.49583333333333324,1.4958333333333331,-1
1028,1,5.0,too bad this  is discontinued,-0.6999999999999998,1.6999999999999997,-1
1278,-1,2.0,"I was really hoping this scent would be True to it's name, and that it would smell of redcurrant and basil.  Wearing it, I smell neither one of those scents (both of which I love); it just smells generically perfumey on me.  I love the idea of a redcurrant/basil scent, but this is not it.  Your mileage may vary of course, but I highly recommend a test run before buying.",0.34199999999999997,1.342,1
1324,-1,1.0,Worst shampoo Ive ever used.  Was mostly water.  I could not get a good lather.  Hair never felt clean after use.  I cannot understand why so many good reviews.  Will not buy again!,0.3236111111111111,1.323611111111111,1
1353,-1,1.0,"This really dries out my hair and makes it feel even thinner than it already is. The smell is nice, but consistency is pretty much water. I honestly think most of the reviews are False ",0.2785714285714286,1.2785714285714285,1
1355,-1,2.0,I really like using organic products and this product had awesome reviews. Ive been seeing a dermatologist for my psoriasis and received a much of topical cream and even steroid injections. So I wanted to go more oganic. It still didn't work and Ive used the whole bottle. It didn't even help improve it any bit. Im sure this may work for someone else but it didn't for me.,0.39999999999999997,1.4,1
1362,-1,3.0,Good light scent. Have received complements from people that I smell nice after using it. 3 stars because bottle is kind of small for a shower gel (size compariso photo attached) and it doesnt really help me wake up in the morning like other products.,0.30357142857142866,1.3035714285714286,1
1368,-1,1.0,"I bought this shampoo because the description stated it was gentle, for itchy, red and irritated scalp. I used it one time and it burned my scalp almost immediately! I bought two bottles and I am returning them both!  I honestly don't know how it get so many good reviews.",0.4,1.4,1
1449,1,5.0,Wife uses this cream always. Hard to get.,-0.2916666666666667,1.2916666666666667,-1
1535,-1,3.0,"This product is a great deal. They don't sell this in the salon anymore, you can only find it online. It is a great product if you are looking for a shine. It did not work well as an anti-frizz product.",0.5333333333333333,1.5333333333333332,1
1737,1,5.0,"my wife loves this bath soap, too bad its too hard to come by anymore. Would buy a case of it.",-0.49583333333333324,1.4958333333333331,-1
1793,1,5.0,too bad this  is discontinued,-0.6999999999999998,1.6999999999999997,-1
2153,-1,3.0,"I would have to say that this is probably a good niche product and nice gift for someone who already owns a compatible toothbrush.  It is a handy place to store the brush heads in a sanitary manner (if you believe that the UV light kills the bacteria).

That said, for $50 plus S&H is a bit much for brush storage and cleaning.
The recharging stand has worked well enough for me in the past, and I've never had any issue with bacteria on my brush heads.  Rinse thoroughly after use and tap to get the water out, that should be enough in my opinion.  As the ""biologist"" stated in his review, this seems a bit like overkill.

This is a simple to use product that probably does what it says.
But I think I'll give mine to family member who also uses Sonicare brushes and may appreciate more the gadget geekiness of the UV Sanitizer.",0.275,1.275,1
2160,-1,1.0,I am very dissapointed in this. It smells so good at first but the smell goes completely away after 5 mionutes.,0.3125,1.3125,1
2215,-1,3.0,"This product was one of many in a birthday basket. I have not heard anything negative from the person who received the basket therefore, I am assuming it was good.",0.3,1.3,1
2244,-1,1.0,Worst shampoo Ive ever used.  Was mostly water.  I could not get a good lather.  Hair never felt clean after use.  I cannot understand why so many good reviews.  Will not buy again!,0.3236111111111111,1.323611111111111,1
2273,-1,1.0,"This really dries out my hair and makes it feel even thinner than it already is. The smell is nice, but consistency is pretty much water. I honestly think most of the reviews are False ",0.2785714285714286,1.2785714285714285,1
2275,-1,2.0,I really like using organic products and this product had awesome reviews. Ive been seeing a dermatologist for my psoriasis and received a much of topical cream and even steroid injections. So I wanted to go more oganic. It still didn't work and Ive used the whole bottle. It didn't even help improve it any bit. Im sure this may work for someone else but it didn't for me.,0.39999999999999997,1.4,1
2282,-1,3.0,Good light scent. Have received complements from people that I smell nice after using it. 3 stars because bottle is kind of small for a shower gel (size compariso photo attached) and it doesnt really help me wake up in the morning like other products.,0.30357142857142866,1.3035714285714286,1
2288,-1,1.0,"I bought this shampoo because the description stated it was gentle, for itchy, red and irritated scalp. I used it one time and it burned my scalp almost immediately! I bought two bottles and I am returning them both!  I honestly don't know how it get so many good reviews.",0.4,1.4,1
2369,1,5.0,Wife uses this cream always. Hard to get.,-0.2916666666666667,1.2916666666666667,-1
2455,-1,3.0,"This product is a great deal. They don't sell this in the salon anymore, you can only find it online. It is a great product if you are looking for a shine. It did not work well as an anti-frizz product.",0.5333333333333333,1.5333333333333332,1
2657,1,5.0,"my wife loves this bath soap, too bad its too hard to come by anymore. Would buy a case of it.",-0.49583333333333324,1.4958333333333331,-1
2713,1,5.0,too bad this  is discontinued,-0.6999999999999998,1.6999999999999997,-1
3148,-1,1.0,I am very dissapointed in this. It smells so good at first but the smell goes completely away after 5 mionutes.,0.3125,1.3125,1
3203,-1,3.0,"This product was one of many in a birthday basket. I have not heard anything negative from the person who received the basket therefore, I am assuming it was good.",0.3,1.3,1
3232,-1,1.0,Worst shampoo Ive ever used.  Was mostly water.  I could not get a good lather.  Hair never felt clean after use.  I cannot understand why so many good reviews.  Will not buy again!,0.3236111111111111,1.323611111111111,1
3261,-1,1.0,"This really dries out my hair and makes it feel even thinner than it already is. The smell is nice, but consistency is pretty much water. I honestly think most of the reviews are False ",0.2785714285714286,1.2785714285714285,1
3263,-1,2.0,I really like using organic products and this product had awesome reviews. Ive been seeing a dermatologist for my psoriasis and received a much of topical cream and even steroid injections. So I wanted to go more oganic. It still didn't work and Ive used the whole bottle. It didn't even help improve it any bit. Im sure this may work for someone else but it didn't for me.,0.39999999999999997,1.4,1
3270,-1,3.0,Good light scent. Have received complements from people that I smell nice after using it. 3 stars because bottle is kind of small for a shower gel (size compariso photo attached) and it doesnt really help me wake up in the morning like other products.,0.30357142857142866,1.3035714285714286,1
3276,-1,1.0,"I bought this shampoo because the description stated it was gentle, for itchy, red and irritated scalp. I used it one time and it burned my scalp almost immediately! I bought two bottles and I am returning them both!  I honestly don't know how it get so many good reviews.",0.4,1.4,1
3357,1,5.0,Wife uses this cream always. Hard to get.,-0.2916666666666667,1.2916666666666667,-1
3443,-1,3.0,"This product is a great deal. They don't sell this in the salon anymore, you can only find it online. It is a great product if you are looking for a shine. It did not work well as an anti-frizz product.",0.5333333333333333,1.5333333333333332,1
3645,1,5.0,"my wife loves this bath soap, too bad its too hard to come by anymore. Would buy a case of it.",-0.49583333333333324,1.4958333333333331,-1
3701,1,5.0,too bad this  is discontinued,-0.6999999999999998,1.6999999999999997,-1
4176,-1,2.0,"Lavender water.

This has a nice scent and the sprayer sprays well, but it is so weak that the scent disappears within a few minutes If I spray more, the sheets get damp. I received a free bottle in exchange for an honest review and I was pretty excited about having lavender-scented sheets, but I won't be buying any of this item and can't recommend it. I have tried this company's soaps, though, and they are wonderful!",0.35,1.35,1
4207,-1,1.0,Worst shampoo Ive ever used.  Was mostly water.  I could not get a good lather.  Hair never felt clean after use.  I cannot understand why so many good reviews.  Will not buy again!,0.3236111111111111,1.323611111111111,1
4222,-1,1.0,"This really dries out my hair and makes it feel even thinner than it already is. The smell is nice, but consistency is pretty much water. I honestly think most of the reviews are False ",0.2785714285714286,1.2785714285714285,1
4224,-1,2.0,I really like using organic products and this product had awesome reviews. Ive been seeing a dermatologist for my psoriasis and received a much of topical cream and even steroid injections. So I wanted to go more oganic. It still didn't work and Ive used the whole bottle. It didn't even help improve it any bit. Im sure this may work for someone else but it didn't for me.,0.39999999999999997,1.4,1
4234,-1,1.0,"I bought this shampoo because the description stated it was gentle, for itchy, red and irritated scalp. I used it one time and it burned my scalp almost immediately! I bought two bottles and I am returning them both!  I honestly don't know how it get so many good reviews.",0.4,1.4,1
4290,1,5.0,Wife uses this cream always. Hard to get.,-0.2916666666666667,1.2916666666666667,-1
4348,-1,3.0,"This product is a great deal. They don't sell this in the salon anymore, you can only find it online. It is a great product if you are looking for a shine. It did not work well as an anti-frizz product.",0.5333333333333333,1.5333333333333332,1
4754,-1,2.0,"Both times that I experimented with the product, I found the results unsatisfactory. It made my hair a bit smoother, but I couldn't achieve any real volume with it. The best I can say, is that it has a pleasant scent. (But those with fragrance sensitivities/allergies may find themselves bothered by it).

And, I must agree with several reviewers who sagely noted that the components of the product are less-than-healthy. The first two times I tried the whip, I quickly washed my hands afterward. Of course, logically, it was still in my hair ... and near/on my scalp. Ultimately, this made me way too nervous to continue to use it, so I tossed it.

There are number of better, more effective, less expensive products on the market. Although a little pricey,&nbsp;<a data-hook=""product-link-linked"" class=""a-link-normal"" href=""/Alterna-Bamboo-Volume-48-Hour-Sustainable-Volume-Spray-4-2-oz/dp/B00CCYOHPQ/ref=cm_cr_arp_d_rvw_txt?ie=UTF8"">Alterna Bamboo Volume 48 Hour Sustainable Volume Spray-4.2 oz.</a>&nbsp;is amazing!!! And completely natural! Give that one a try.",0.28984374999999996,1.28984375,1
4763,-1,3.0,"The foam conditioner is easy to use and doesn't leave greasy residue on hair. There was no problem in rinsing it off.
I just don't like the smell, it bothers me. It's very chemical.",0.31666666666666665,1.3166666666666667,1
